stage,feature_family,held_out_dataset,n_records,n_subjects,no_experience,experience,subject_equal_auroc,cluster_ci_2.5,cluster_ci_97.5,valid_bootstraps,balanced_accuracy_at_0.5
NREM,PSD (published),DeGenaro_YoungAdults,32,32,14,18,0.4722222222222222,0.26587301587301587,0.6865079365079365,2000,0.4523809523809524
NREM,PSD (published),DeGenearoMA,281,19,92,189,0.3877426792631819,0.3065769866488629,0.4576487271165463,2000,0.5052633651294491
NREM,PSD (published),SiclariMA,231,39,107,124,0.5452367367628835,0.4749138579444391,0.6137567042172754,2000,0.49598549041190765
NREM,PSD (published),Zhang_Wamsley_2019,186,27,47,139,0.5303733916191989,0.39557959444697227,0.6499288847191257,2000,0.5037986255828076
NREM,PSD (published),MACRO_MEAN,730,117,260,470,0.4838937574668716,,,,0.4893571083762792
NREM,Catch22 broadband (published),DeGenaro_YoungAdults,32,32,14,18,0.44047619047619047,0.22916666666666669,0.6590909090909091,2000,0.4722222222222222
NREM,Catch22 broadband (published),DeGenearoMA,281,19,92,189,0.46579502988723526,0.38367611585560324,0.5611665834099747,2000,0.48630653468926505
NREM,Catch22 broadband (published),SiclariMA,231,39,107,124,0.5148135265534852,0.43456346071580093,0.5938085848902471,2000,0.5
NREM,Catch22 broadband (published),Zhang_Wamsley_2019,186,27,47,139,0.4424779394774132,0.33562025653046107,0.5447997305833084,2000,0.5
NREM,Catch22 broadband (published),MACRO_MEAN,730,117,260,470,0.46589067159858105,,,,0.48963218922787183
NREM,Catch22 filtered (adapted),DeGenaro_YoungAdults,32,32,14,18,0.33333333333333337,0.16267953537690377,0.5362635869565217,2000,0.5
NREM,Catch22 filtered (adapted),DeGenearoMA,281,19,92,189,0.44811265627900343,0.3644089245597738,0.5271400961547688,2000,0.48832161690445425
NREM,Catch22 filtered (adapted),SiclariMA,231,39,107,124,0.5390046378281357,0.4692290862200039,0.6053372409887503,2000,0.5
NREM,Catch22 filtered (adapted),Zhang_Wamsley_2019,186,27,47,139,0.45551377933256343,0.35633980027369483,0.5476604210376674,2000,0.49764368873101716
NREM,Catch22 filtered (adapted),MACRO_MEAN,730,117,260,470,0.443991101693259,,,,0.49649132640886784
NREM,Riemannian covariance,DeGenaro_YoungAdults,32,32,14,18,0.5515873015873015,0.3441200657894737,0.7607930459633245,2000,0.5
NREM,Riemannian covariance,DeGenearoMA,281,19,92,189,0.4573879000570485,0.38118637299003555,0.5303533688465365,2000,0.468991310633325
NREM,Riemannian covariance,SiclariMA,231,39,107,124,0.48527265427926924,0.41701362387568136,0.5541741736911662,2000,0.5
NREM,Riemannian covariance,Zhang_Wamsley_2019,186,27,47,139,0.42723397255677736,0.31368439966679806,0.5551708602059927,2000,0.47758954889396255
NREM,Riemannian covariance,MACRO_MEAN,730,117,260,470,0.4803704571200991,,,,0.4866452148818219
NREM,Log-Euclidean domain alignment,DeGenaro_YoungAdults,32,32,14,18,0.5158730158730159,0.3082720588235294,0.7262543377674953,2000,0.5
NREM,Log-Euclidean domain alignment,DeGenearoMA,281,19,92,189,0.4778005629921449,0.40197021253699744,0.5576668025492877,2000,0.4828403782477909
NREM,Log-Euclidean domain alignment,SiclariMA,231,39,107,124,0.5312930014288475,0.4449939722291203,0.6146461371435079,2000,0.5
NREM,Log-Euclidean domain alignment,Zhang_Wamsley_2019,186,27,47,139,0.46267607730718857,0.35118846722633035,0.5776857803534451,2000,0.4907797001163732
NREM,Log-Euclidean domain alignment,MACRO_MEAN,730,117,260,470,0.49691066440029924,,,,0.493405019591041
NREM,Temporal irreversibility,DeGenaro_YoungAdults,32,32,14,18,0.5912698412698413,0.38276599702380953,0.7875,2000,0.5
NREM,Temporal irreversibility,DeGenearoMA,281,19,92,189,0.4990949103504393,0.41636550861181765,0.5893451658975041,2000,0.4895465320014729
