stage,feature_family,weighting,dataset,display_name,estimate,ci_low,ci_high,valid_bootstraps,participants,experience,no_experience,pairs
NREM,PSD (published),record,DeGenaro_YoungAdults,Young Adults,0.47380952380952374,0.3128858196924603,0.6197346061669686,2000,32,18,14,252
NREM,PSD (published),record,DeGenearoMA,Multiple Awakenings,0.465349666436623,0.40907077892027754,0.5196826014106614,2000,19,189,92,17388
NREM,PSD (published),record,SiclariMA,Siclari,0.477750979801025,0.4207588366688354,0.5392810841724076,2000,39,124,107,13268
NREM,PSD (published),record,Zhang_Wamsley_2019,Zhang,0.6246326343180774,0.5326086006384921,0.7056180938532925,2000,27,139,47,6533
NREM,PSD (published),participant_equal,DeGenaro_YoungAdults,Young Adults,0.47380952380952374,0.3128858196924603,0.6197346061669686,2000,32,18,14,252
NREM,PSD (published),participant_equal,DeGenearoMA,Multiple Awakenings,0.438796344399091,0.36146167540143964,0.5148875127534203,2000,19,189,92,17388
NREM,PSD (published),participant_equal,SiclariMA,Siclari,0.500441794490245,0.4364036011678954,0.5702276683237544,2000,39,124,107,13268
NREM,PSD (published),participant_equal,Zhang_Wamsley_2019,Zhang,0.6139689998151852,0.5251438488769148,0.6966108445439375,2000,27,139,47,6533
REM,Catch22 filtered (adapted),record,DeGenaro_YoungAdults,Young Adults,0.53225,0.35638508928571433,0.7114772727272726,2000,30,20,10,200
REM,Catch22 filtered (adapted),record,DeGenearoMA,Multiple Awakenings,0.5081103448275862,0.44399463779991166,0.597811129470036,2000,19,125,29,3625
REM,Catch22 filtered (adapted),record,Zhang_Wamsley_2019,Zhang,0.6287581699346404,0.4668289419934641,0.7832290296052631,2000,20,17,9,153
REM,Catch22 filtered (adapted),record,rem_Turku,Turku,0.32158469945355195,0.2373394352334479,0.4621032786885246,1787,18,122,3,366
REM,Catch22 filtered (adapted),participant_equal,DeGenaro_YoungAdults,Young Adults,0.53225,0.35638508928571433,0.7114772727272726,2000,30,20,10,200
REM,Catch22 filtered (adapted),participant_equal,DeGenearoMA,Multiple Awakenings,0.4905730639765471,0.4230294657418561,0.5762485227012493,2000,19,125,29,3625
REM,Catch22 filtered (adapted),participant_equal,Zhang_Wamsley_2019,Zhang,0.6613333333333334,0.5255915178571429,0.7845268542199488,2000,20,17,9,153
REM,Catch22 filtered (adapted),participant_equal,rem_Turku,Turku,0.3728409658961806,0.2559296034946237,0.49989010513296234,1787,18,122,3,366
