stage,feature_family,positive_site,negative_site,positive_site_display,negative_site_display,positive_records,negative_records,pair_count,pair_fraction,concordance,pooled_auroc_contribution
NREM,PSD (published),DeGenaro_YoungAdults,DeGenaro_YoungAdults,Young Adults,Young Adults,18,14,252,0.0020621931260229134,0.47380952380952374,0.0009770867430441898
NREM,PSD (published),DeGenaro_YoungAdults,DeGenearoMA,Young Adults,Multiple Awakenings,18,92,1656,0.013551554828150573,0.3408212560386473,0.004618657937806874
NREM,PSD (published),DeGenaro_YoungAdults,SiclariMA,Young Adults,Siclari,18,107,1926,0.015761047463175124,0.37958203530633433,0.005982610474631751
NREM,PSD (published),DeGenaro_YoungAdults,Zhang_Wamsley_2019,Young Adults,Zhang,18,47,846,0.006923076923076923,0.3706264775413712,0.0025658756137479544
NREM,PSD (published),DeGenearoMA,DeGenaro_YoungAdults,Multiple Awakenings,Young Adults,189,14,2646,0.02165302782324059,0.6447278911564627,0.013960310965630116
NREM,PSD (published),DeGenearoMA,DeGenearoMA,Multiple Awakenings,Multiple Awakenings,189,92,17388,0.142291325695581,0.465349666436623,0.0662152209492635
NREM,PSD (published),DeGenearoMA,SiclariMA,Multiple Awakenings,Siclari,189,107,20223,0.16549099836333878,0.5238045789447658,0.0866849427168576
NREM,PSD (published),DeGenearoMA,Zhang_Wamsley_2019,Multiple Awakenings,Zhang,189,47,8883,0.0726923076923077,0.487236856917708,0.03541837152209493
NREM,PSD (published),SiclariMA,DeGenaro_YoungAdults,Siclari,Young Adults,124,14,1736,0.014206219312602292,0.5861751152073732,0.008327332242225859
NREM,PSD (published),SiclariMA,DeGenearoMA,Siclari,Multiple Awakenings,124,92,11408,0.09335515548281506,0.4313573807854138,0.04026943535188217
NREM,PSD (published),SiclariMA,SiclariMA,Siclari,Siclari,124,107,13268,0.10857610474631751,0.477750979801025,0.05187234042553191
NREM,PSD (published),SiclariMA,Zhang_Wamsley_2019,Siclari,Zhang,124,47,5828,0.047692307692307694,0.4539293067947837,0.02164893617021276
NREM,PSD (published),Zhang_Wamsley_2019,DeGenaro_YoungAdults,Zhang,Young Adults,139,14,1946,0.015924713584288052,0.7621274409044194,0.012136661211129298
NREM,PSD (published),Zhang_Wamsley_2019,DeGenearoMA,Zhang,Multiple Awakenings,139,92,12788,0.1046481178396072,0.6442309196121363,0.06741755319148936
NREM,PSD (published),Zhang_Wamsley_2019,SiclariMA,Zhang,Siclari,139,107,14873,0.12171031096563012,0.6758034693740335,0.0822522504091653
NREM,PSD (published),Zhang_Wamsley_2019,Zhang_Wamsley_2019,Zhang,Zhang,139,47,6533,0.05346153846153846,0.6246326343180774,0.03339382160392798
REM,Catch22 filtered (adapted),DeGenaro_YoungAdults,DeGenaro_YoungAdults,Young Adults,Young Adults,20,10,200,0.013808340237503451,0.53225,0.007349489091411212
REM,Catch22 filtered (adapted),DeGenaro_YoungAdults,DeGenearoMA,Young Adults,Multiple Awakenings,20,29,580,0.04004418668876001,0.33120689655172414,0.013262910798122066
REM,Catch22 filtered (adapted),DeGenaro_YoungAdults,Zhang_Wamsley_2019,Young Adults,Zhang,20,9,180,0.012427506213753107,0.5733333333333335,0.007125103562551783
REM,Catch22 filtered (adapted),DeGenaro_YoungAdults,rem_Turku,Young Adults,Turku,20,3,60,0.004142502071251036,0.06999999999999999,0.00028997514498757245
REM,Catch22 filtered (adapted),DeGenearoMA,DeGenaro_YoungAdults,Multiple Awakenings,Young Adults,125,10,1250,0.08630212648439657,0.7005600000000001,0.06045981772990887
REM,Catch22 filtered (adapted),DeGenearoMA,DeGenearoMA,Multiple Awakenings,Multiple Awakenings,125,29,3625,0.25027616680475007,0.5081103448275862,0.12716790941728803
REM,Catch22 filtered (adapted),DeGenearoMA,Zhang_Wamsley_2019,Multiple Awakenings,Zhang,125,9,1125,0.07767191383595692,0.7634,0.059294739022369515
REM,Catch22 filtered (adapted),DeGenearoMA,rem_Turku,Multiple Awakenings,Turku,125,3,375,0.025890637945318973,0.15306666666666668,0.003962993648163491
REM,Catch22 filtered (adapted),Zhang_Wamsley_2019,DeGenaro_YoungAdults,Zhang,Young Adults,17,10,170,0.011737089201877934,0.5839705882352939,0.006854114885390773
REM,Catch22 filtered (adapted),Zhang_Wamsley_2019,DeGenearoMA,Zhang,Multiple Awakenings,17,29,493,0.03403755868544601,0.37352941176470594,0.012714029273681305
REM,Catch22 filtered (adapted),Zhang_Wamsley_2019,Zhang_Wamsley_2019,Zhang,Zhang,17,9,153,0.01056338028169014,0.6287581699346404,0.0066418116542391594
REM,Catch22 filtered (adapted),Zhang_Wamsley_2019,rem_Turku,Zhang,Turku,17,3,51,0.0035211267605633804,0.08529411764705883,0.0003003314001657001
REM,Catch22 filtered (adapted),rem_Turku,DeGenaro_YoungAdults,Turku,Young Adults,122,10,1220,0.08423087544877106,0.8455737704918033,0.0712234189450428
REM,Catch22 filtered (adapted),rem_Turku,DeGenearoMA,Turku,Multiple Awakenings,122,29,3538,0.24426953880143606,0.7137012436404748,0.17433547362607013
REM,Catch22 filtered (adapted),rem_Turku,Zhang_Wamsley_2019,Turku,Zhang,122,9,1098,0.07580778790389395,0.9163023679417123,0.06946285556476112
REM,Catch22 filtered (adapted),rem_Turku,rem_Turku,Turku,Turku,122,3,366,0.025269262634631317,0.32158469945355195,0.008126208229770782
